Completion probability,Expected number of experiments
0,1
0.01,1.00959111559818
0.02,1.01936799184506
0.03,1.02933607822954
0.04,1.03950103950104
0.05,1.0498687664042
0.06,1.06044538706257
0.07,1.07123727905731
0.08,1.08225108225108
0.09,1.09349371241115
0.1,1.10497237569061
0.11,1.11669458403127
0.12,1.12866817155756
0.13,1.14090131203651
0.14,1.15340253748558
0.15,1.16618075801749
0.16,1.17924528301887
0.17,1.19260584376863
0.18,1.20627261761158
0.19,1.2202562538133
0.2,1.23456790123457
0.21,1.24921923797626
0.22,1.26422250316056
0.23,1.27959053103007
0.24,1.29533678756477
0.25,1.31147540983607
0.26,1.32802124833997
0.27,1.34498991257566
0.28,1.36239782016349
0.29,1.38026224982747
0.3,1.3986013986014
0.31,1.41743444365698
0.32,1.4367816091954
0.33,1.45666423889294
0.34,1.47710487444609
0.35,1.49812734082397
0.36,1.51975683890577
0.37,1.5420200462606
0.38,1.56494522691706
0.39,1.58856235107228
0.4,1.61290322580645
0.41,1.63800163800164
0.42,1.66389351081531
0.43,1.69061707523246
0.44,1.71821305841924
0.45,1.74672489082969
0.46,1.77619893428064
0.47,1.806684733514
0.48,1.83823529411765
0.49,1.87090739008419
0.5,1.9047619047619
0.51,1.93986420950533
0.52,1.97628458498024
0.53,2.01409869083585
0.54,2.05338809034908
0.55,2.09424083769634
0.56,2.13675213675214
0.57,2.18102508178844
0.58,2.2271714922049
0.59,2.27531285551763
0.6,2.32558139534884
0.61,2.37812128418549
0.62,2.4330900243309
0.63,2.4906600249066
0.64,2.55102040816326
0.65,2.61437908496732
0.66,2.68096514745308
0.67,2.75103163686382
0.68,2.82485875706215
0.69,2.90275761973875
0.7,2.98507462686567
0.71,3.07219662058372
0.72,3.16455696202532
0.73,3.2626427406199
0.74,3.36700336700337
0.75,3.47826086956522
0.76,3.59712230215827
0.77,3.7243947858473
0.78,3.86100386100386
0.79,4.00801603206413
0.8,4.16666666666667
0.81,4.33839479392625
0.82,4.52488687782805
0.83,4.72813238770686
0.84,4.95049504950495
0.85,5.19480519480519
0.86,5.46448087431694
0.87,5.76368876080692
0.88,6.09756097560975
0.89,6.47249190938511
0.9,6.89655172413793
0.91,7.380073800738
0.92,7.93650793650793
0.93,8.58369098712446
0.94,9.34579439252336
0.95,10.2564102564103
0.96,11.3636363636364
0.97,12.7388535031847
0.98,14.4927536231884
0.99,16.8067226890756
0.9999,19.9620720630801
