Completion probability,Robust critical value
0,1.64485362695147
0.01,1.64947908386082
0.02,1.65414478653821
0.03,1.65885150585258
0.04,1.66360003570105
0.05,1.66839119394708
0.06,1.67322582340729
0.07,1.67810479288986
0.08,1.68302899828796
0.09,1.68799936373168
0.1,1.69301684280222
0.11,1.69808241981259
0.12,1.70319711115913
0.13,1.70836196674863
0.14,1.71357807150632
0.15,1.71884654697017
0.16,1.72416855297761
0.17,1.72954528945116
0.18,1.73497799829013
0.19,1.74046796537587
0.2,1.74601652269921
0.21,1.7516250506188
0.22,1.75729498026048
0.23,1.76302779606827
0.24,1.76882503851871
0.25,1.77468830701134
0.26,1.78061926294923
0.27,1.78661963302489
0.28,1.79269121272818
0.29,1.79883587009465
0.3,1.80505554971441
0.31,1.81135227702358
0.32,1.81772816290279
0.33,1.82418540860949
0.34,1.8307263110738
0.35,1.83735326859055
0.36,1.84406878694381
0.37,1.85087548600428
0.38,1.85777610684386
0.39,1.8647735194175
0.4,1.87187073086724
0.41,1.8790708945106
0.42,1.88637731958204
0.43,1.89379348180508
0.44,1.90132303488185
0.45,1.90896982299755
0.46,1.91673789444997
0.47,1.9246315165282
0.48,1.93265519178105
0.49,1.94081367583457
0.5,1.94911199693989
0.51,1.95755547745781
0.52,1.9661497575161
0.53,1.9749008211096
0.54,1.98381502495361
0.55,1.99289913044793
0.56,2.00216033916466
0.57,2.01160633233827
0.58,2.02124531491435
0.59,2.03108606480622
0.6,2.0411379881191
0.61,2.05141118123475
0.62,2.06191650080946
0.63,2.07266564293274
0.64,2.08367123292975
0.65,2.09494692757988
0.66,2.10650753187845
0.67,2.1183691329078
0.68,2.13054925392977
0.69,2.14306703249461
0.7,2.15594342722162
0.71,2.16920145899814
0.72,2.18286649373736
0.73,2.1969665756316
0.74,2.21153282216924
0.75,2.22659989524006
0.76,2.24220656669789
0.77,2.25839640215596
0.78,2.27521859410082
0.79,2.29272898541381
0.8,2.31099133825742
0.81,2.33007892278791
0.82,2.35007652801191
0.83,2.37108303757758
0.84,2.39321477320613
0.85,2.41660989903216
0.86,2.44143432021515
0.87,2.46788973160165
0.88,2.49622483584405
0.89,2.52675136506571
0.9,2.55986761994449
0.91,2.59609422360597
0.92,2.63613062866449
0.93,2.68094883908772
0.94,2.73195846970074
0.95,2.79132066308622
0.96,2.86260948605233
0.97,2.95242206856336
0.98,3.07528010578612
0.99,3.27621674852125
0.9999,4.40607073094092
