Completion probability,Expected number of experiments with classical critical value,Expected number of experiments with robust critical value
0,1,1
0.01,1.00959111559818,1.00959595959596
0.02,1.01936799184506,1.01938775510204
0.03,1.02933607822954,1.02938144329897
0.04,1.03950103950104,1.03958333333333
0.05,1.0498687664042,1.05
0.06,1.06044538706257,1.06063829787234
0.07,1.07123727905731,1.07150537634409
0.08,1.08225108225108,1.08260869565217
0.09,1.09349371241115,1.09395604395604
0.1,1.10497237569061,1.10555555555556
0.11,1.11669458403127,1.11741573033708
0.12,1.12866817155756,1.12954545454545
0.13,1.14090131203651,1.14195402298851
0.14,1.15340253748558,1.1546511627907
0.15,1.16618075801749,1.16764705882353
0.16,1.17924528301887,1.18095238095238
0.17,1.19260584376863,1.19457831325301
0.18,1.20627261761158,1.20853658536585
0.19,1.2202562538133,1.22283950617284
0.2,1.23456790123457,1.2375
0.21,1.24921923797626,1.25253164556962
0.22,1.26422250316056,1.26794871794872
0.23,1.27959053103007,1.28376623376623
0.24,1.29533678756477,1.3
0.25,1.31147540983607,1.31666666666667
0.26,1.32802124833997,1.33378378378378
0.27,1.34498991257566,1.3513698630137
0.28,1.36239782016349,1.36944444444444
0.29,1.38026224982747,1.38802816901408
0.3,1.3986013986014,1.40714285714286
0.31,1.41743444365698,1.4268115942029
0.32,1.4367816091954,1.44705882352941
0.33,1.45666423889294,1.46791044776119
0.34,1.47710487444609,1.48939393939394
0.35,1.49812734082397,1.51153846153846
0.36,1.51975683890577,1.534375
0.37,1.5420200462606,1.55793650793651
0.38,1.56494522691706,1.58225806451613
0.39,1.58856235107228,1.60737704918033
0.4,1.61290322580645,1.63333333333333
0.41,1.63800163800164,1.66016949152542
0.42,1.66389351081531,1.68793103448276
0.43,1.69061707523246,1.71666666666667
0.44,1.71821305841924,1.74642857142857
0.45,1.74672489082969,1.77727272727273
0.46,1.77619893428064,1.80925925925926
0.47,1.806684733514,1.84245283018868
0.48,1.83823529411765,1.87692307692308
0.49,1.87090739008419,1.91274509803922
0.5,1.9047619047619,1.95
0.51,1.93986420950533,1.98877551020408
0.52,1.97628458498024,2.02916666666667
0.53,2.01409869083585,2.07127659574468
0.54,2.05338809034908,2.11521739130435
0.55,2.09424083769634,2.16111111111111
0.56,2.13675213675214,2.20909090909091
0.57,2.18102508178844,2.2593023255814
0.58,2.2271714922049,2.31190476190476
0.59,2.27531285551763,2.36707317073171
0.6,2.32558139534884,2.425
0.61,2.37812128418549,2.48589743589744
0.62,2.4330900243309,2.55
0.63,2.4906600249066,2.61756756756757
0.64,2.55102040816326,2.68888888888889
0.65,2.61437908496732,2.76428571428571
0.66,2.68096514745308,2.84411764705882
0.67,2.75103163686382,2.92878787878788
0.68,2.82485875706215,3.01875
0.69,2.90275761973875,3.11451612903226
0.7,2.98507462686567,3.21666666666667
0.71,3.07219662058372,3.32586206896552
0.72,3.16455696202532,3.44285714285714
0.73,3.2626427406199,3.56851851851852
0.74,3.36700336700337,3.70384615384615
0.75,3.47826086956522,3.85
0.76,3.59712230215827,4.00833333333333
0.77,3.7243947858473,4.1804347826087
0.78,3.86100386100386,4.36818181818182
0.79,4.00801603206413,4.57380952380952
0.8,4.16666666666667,4.8
0.81,4.33839479392625,5.05
0.82,4.52488687782805,5.32777777777778
0.83,4.72813238770686,5.63823529411765
0.84,4.95049504950495,5.9875
0.85,5.19480519480519,6.38333333333333
0.86,5.46448087431694,6.83571428571428
0.87,5.76368876080692,7.35769230769231
0.88,6.09756097560975,7.96666666666667
0.89,6.47249190938511,8.68636363636364
0.9,6.89655172413793,9.55
0.91,7.380073800738,10.6055555555556
0.92,7.93650793650793,11.925
0.93,8.58369098712446,13.6214285714286
0.94,9.34579439252336,15.8833333333333
0.95,10.2564102564103,19.05
0.96,11.3636363636364,23.8
0.97,12.7388535031847,31.7166666666666
0.98,14.4927536231884,47.55
0.99,16.8067226890756,95.0499999999999
0.9999,19.9620720630801,9500.05000000105
