Corrective step,Expected number of experiments
1,4.16666666666667
2,4.77099236641221
3,4.79883292383292
4,4.79995330605424
5,4.79999813222473
6,4.79999992528896
7,4.79999999701156
8,4.79999999988046
9,4.79999999999522
10,4.79999999999981
11,4.79999999999999
12,4.8
13,4.8
14,4.8
15,4.8
16,4.8
17,4.8
18,4.8
19,4.8
20,4.8
21,4.8
22,4.8
23,4.8
24,4.8
25,4.8
26,4.8
27,4.8
28,4.8
29,4.8
30,4.8
31,4.8
32,4.8
33,4.8
34,4.8
35,4.8
36,4.8
37,4.8
38,4.8
39,4.8
40,4.8
41,4.8
42,4.8
43,4.8
44,4.8
45,4.8
46,4.8
47,4.8
48,4.8
49,4.8
50,4.8
51,4.8
52,4.8
53,4.8
54,4.8
55,4.8
56,4.8
57,4.8
58,4.8
59,4.8
60,4.8
61,4.8
62,4.8
63,4.8
64,4.8
65,4.8
66,4.8
67,4.8
68,4.8
69,4.8
70,4.8
71,4.8
72,4.8
73,4.8
74,4.8
75,4.8
76,4.8
77,4.8
78,4.8
79,4.8
80,4.8
81,4.8
82,4.8
83,4.8
84,4.8
85,4.8
86,4.8
87,4.8
88,4.8
89,4.8
90,4.8
91,4.8
92,4.8
93,4.8
94,4.8
95,4.8
96,4.8
97,4.8
98,4.8
99,4.8
100,4.8
